id,category,santali_ol_chiki,bengali,english,status,notes
1,Pronoun,ᱤᱧ,আমি,I,seeded,Source-backed seed; still recommended for native-speaker review.
2,Pronoun,ᱟᱢ,তুমি/আপনি,you (singular),seeded,Source-backed seed; still recommended for native-speaker review.
3,Pronoun,ᱟᱡ,সে/তিনি/এটি,"he, she, it",seeded,Source-backed seed; still recommended for native-speaker review.
4,Pronoun,ᱟᱵᱚ,আমরা,we,seeded,Source-backed seed; still recommended for native-speaker review.
5,Pronoun,ᱟᱞᱮ,আমরা (অন্তর্ভুক্তিমূলক),we (inclusive),seeded,Source-backed seed; still recommended for native-speaker review.
6,Pronoun,ᱟᱯᱮ,তোমরা/আপনারা,you (plural),seeded,Source-backed seed; still recommended for native-speaker review.
7,Pronoun,ᱩᱱᱠᱩ,তারা,they,seeded,Source-backed seed; still recommended for native-speaker review.
8,Demonstrative,ᱱᱤᱭᱟᱹ,এটি/এই,this,seeded,Source-backed seed; still recommended for native-speaker review.
9,Demonstrative,ᱦᱟᱱᱟ,সেটি/ওই,that,seeded,Source-backed seed; still recommended for native-speaker review.
10,Adverb,ᱱᱚᱛᱮ,এখানে,here,seeded,Source-backed seed; still recommended for native-speaker review.
11,Adverb,ᱚᱱᱛᱮ,সেখানে,there,seeded,Source-backed seed; still recommended for native-speaker review.
12,Question,ᱚᱠᱚᱭ,কে,who,seeded,Source-backed seed; still recommended for native-speaker review.
13,Question,ᱪᱮᱫ,কি,what,seeded,Source-backed seed; still recommended for native-speaker review.
14,Question,ᱚᱠᱟᱨᱮ,কোথায়,where,seeded,Source-backed seed; still recommended for native-speaker review.
15,Question,ᱛᱤᱱᱨᱮ,কখন,when,seeded,Source-backed seed; still recommended for native-speaker review.
16,Question,ᱪᱮᱠᱟᱛᱮ,কীভাবে,how,seeded,Source-backed seed; still recommended for native-speaker review.
17,Particle,ᱵᱟᱝ,না/নয়,not,seeded,Source-backed seed; still recommended for native-speaker review.
18,Determiner,ᱡᱚᱛᱚ,সব,all,seeded,Source-backed seed; still recommended for native-speaker review.
19,Determiner,ᱟᱭᱢᱟ,অনেক,many,seeded,Source-backed seed; still recommended for native-speaker review.
20,Determiner,ᱟᱫᱚᱢ,কিছু,some,seeded,Source-backed seed; still recommended for native-speaker review.
21,Determiner,ᱱᱟᱥᱮ,কয়েক/অল্প,few,seeded,Source-backed seed; still recommended for native-speaker review.
22,Determiner,ᱮᱴᱟᱜ,অন্য,other,seeded,Source-backed seed; still recommended for native-speaker review.
23,Numeral,ᱢᱤᱫ,এক,one,seeded,Source-backed seed; still recommended for native-speaker review.
24,Numeral,ᱵᱟᱨ,দুই,two,seeded,Source-backed seed; still recommended for native-speaker review.
25,Numeral,ᱯᱮ,তিন,three,seeded,Source-backed seed; still recommended for native-speaker review.
26,Numeral,ᱯᱩᱱ,চার,four,seeded,Source-backed seed; still recommended for native-speaker review.
27,Numeral,ᱢᱚᱬᱮ,পাঁচ,five,seeded,Source-backed seed; still recommended for native-speaker review.
28,Numeral,ᱛᱩᱨᱩᱭ,ছয়,six,seeded,Source-backed seed; still recommended for native-speaker review.
29,Numeral,ᱮᱭᱟᱭ,সাত,seven,seeded,Source-backed seed; still recommended for native-speaker review.
30,Numeral,ᱤᱨᱟᱹᱞ,আট,eight,seeded,Source-backed seed; still recommended for native-speaker review.
31,Numeral,ᱟᱨᱮ,নয়,nine,seeded,Source-backed seed; still recommended for native-speaker review.
32,Numeral,ᱜᱮᱞ,দশ,ten,seeded,Source-backed seed; still recommended for native-speaker review.
33,Numeral,ᱜᱮᱞ ᱢᱤᱫ,এগারো,eleven,seeded,Source-backed seed; still recommended for native-speaker review.
34,Numeral,ᱜᱮᱞ ᱵᱟᱨ,বারো,twelve,seeded,Source-backed seed; still recommended for native-speaker review.
35,Numeral,ᱜᱮᱞ ᱯᱮ,তেরো,thirteen,seeded,Source-backed seed; still recommended for native-speaker review.
36,Numeral,ᱜᱮᱞ ᱯᱩᱱ,চৌদ্দ,fourteen,seeded,Source-backed seed; still recommended for native-speaker review.
